,,,,,
,,,,,
,,,,,
Ref,Departments,SL,Sub Department,Designation,Remarks
A,Production OSD (Oral Solid Dossage),1,Compression Operator,Jr Opertor,A. Drop Down 2 for each line of Drop Down 1 from SL 1 to SL 9
,,2,Granulation Operator,Operator,
,,3,Coating operator,Technical Associate,
,,4,Capsule Filling operator,Senior Technical Associate,
,,5,Wruster Coating Operator,Officer,
,,6,PPIC,Senior Officer,
,,7,Production QMS,Management Associate,
,,8,Market Compliants,Supervisor,
,,9,Documentation,Others,
B,Production INJECTABLES,10,Autoclave,Jr Opertor,B. Drop Down 2 for each line of Drop Down 1 from SL 10 to SL 18
,,11,Washing,Operator,
,,12,Filling,Technical Associate,
,,13,Sealing,Senior Technical Associate,
,,14,Batch Manufacturing,Officer,
,,15,Lypolization Operation & PFS,Senior Officer,
,,16,Opthalmic 3 piece,Management Associate,
,,17,BFS Infusion BAG Filling operation,Supervisor,
,,18,Documentation,Others,
C,Packing,19,Bottle Packing,Operator,C. Drop Down 2 for each line of Drop Down 1 from SL 19 to SL 25
,,20,Blister Packing,Technical Associate,
,,21,Auto-Cantinator,Management Associate,
,,22,Primary & Secondary Packing,Senior Technical Associate,
,,23,Packing QMS,Supervisor,
,,24,Bulk Packing,Others,
,,25,PPIC Packing,,
D,Quality Assurance,26,IPQA,Jr Executive,D. Drop Down 2 for each line of Drop Down 1 from SL 26 to SL 38
,,27,AQA,Executive,
,,28,QMS,Sr Executive,
,,29,CQA,Asst Manager,
,,30,MQA,Deputy Manager,
,,31,Market Compliants,Manager,
,,32,Validations,Associate Manager,
,,33,Documentation,Sr Manager,
,,34,Equipment Qualification,AGM / DGM,
,,35,Process Validation,GM,
,,36,Cleaning Validation,VP / Sr VP,
,,37,QA CSV,Others,
,,38,DQA,,
E,Quality Control,39,Finished Products,Jr Executive,E. Drop Down 2 for each line of Drop Down 1 from SL 39 to SL 47
,,40,In- Process,Executive,
,,41,Stability,Sr Executive,
,,42,IPQC,Asst Manager,
,,43,Instruments,Deputy Manager,
,,44,Documentation,Manager,
,,45,QC Microbiology,Associate Manager,
,,46,QC ELISA,Sr Manager,
,,47,QC Data Reviewer,AGM / DGM,
